Date,Open,High,Low,Close,Volume
10/24/2018 15:30:00,487.5,495.28,472.9,490.35,4221491
10/25/2018 15:30:00,489.4,505.73,484,502.43,3088129
10/26/2018 15:30:00,499.98,499.98,481,483.3,1807878
10/29/2018 15:30:00,482.6,495.98,476.88,492.83,1393040
10/30/2018 15:30:00,493.65,508.48,488.35,502.43,3060534
10/31/2018 15:30:00,502.65,532.85,501,527.8,3291114
11/1/2018 15:30:00,527.5,528.73,501.75,504.45,1973035
11/2/2018 15:30:00,508,514.75,497.58,502.3,2787603
11/5/2018 19:00:00,502.75,512.08,501.9,510.75,969464
11/6/2018 15:30:00,511.38,521,506.8,514.45,1460942
11/9/2018 15:30:00,521.5,523.5,506.75,513.95,3671783
11/12/2018 15:30:00,516.23,529.5,516.03,518.4,2391227
11/13/2018 15:30:00,519.92,527.42,514.67,516.6,1368737
11/14/2018 15:30:00,515.5,515.7,481.5,498.55,1516816
11/15/2018 15:30:00,499.95,514.5,490.9,494.38,1791153
11/16/2018 15:30:00,498.5,518.9,496.88,511.1,3349117
11/19/2018 15:30:00,511.1,521.4,507.13,520.05,2090035
11/20/2018 15:30:00,517.5,517.5,501.65,504.48,1314282
11/21/2018 15:30:00,501.53,507,489.78,492.58,1251532
11/22/2018 15:30:00,494,501,487.7,489.53,1564940
11/26/2018 15:30:00,492.25,502.95,481.5,500.25,2379281
11/27/2018 15:30:00,499.35,514.5,496.5,511.58,2051509
11/28/2018 15:30:00,511.6,523.88,506.18,521.55,1230287
11/29/2018 15:30:00,521.65,522.67,504.25,506.73,1630256
11/30/2018 15:30:00,509,513.15,502.13,507.5,2109694
12/3/2018 15:30:00,510.55,512.85,502.35,509.1,1454449
12/4/2018 15:30:00,509.05,521.5,508.53,518.13,1418143
12/5/2018 15:30:00,518.23,529,511,525.53,1936706
12/6/2018 15:30:00,524.67,532.75,504.5,506.25,2025631
12/7/2018 15:30:00,500,500,467.23,480.98,10546835
12/10/2018 15:30:00,479.98,485.35,468.55,471,3091482
12/11/2018 15:30:00,470.5,482.58,465.35,478.43,2802924
12/12/2018 15:30:00,482.5,487,471.65,485.63,1826854
12/13/2018 15:30:00,485.03,491.28,481.73,489.03,1378322
12/14/2018 15:30:00,483,484.4,475,480.6,2305516
12/17/2018 15:30:00,482.55,487,476.95,485.83,1396290
12/18/2018 15:30:00,484.98,494.4,479.7,492.6,1937251
12/19/2018 15:30:00,490,491.8,477,478.58,3058633
12/20/2018 15:30:00,474.15,482.35,474,479.75,2263977
12/21/2018 15:30:00,478.53,482,472.5,477.23,5219625
12/24/2018 15:30:00,477.5,477.95,467.58,468.93,1470782
12/26/2018 15:30:00,469,473.85,465.5,471.4,1217032
12/27/2018 15:30:00,474.5,480,471.33,474.4,2548404
12/28/2018 15:30:00,476.05,481.5,475,479.18,778333
12/31/2018 15:30:00,481.23,483.3,477.8,482.18,718502
1/1/2019 15:30:00,481,482.5,476.43,479.93,358734
1/2/2019 15:30:00,479.5,481,469.58,473.18,1135048
1/3/2019 15:30:00,475,480,472.5,474.18,1404612
1/4/2019 15:30:00,473,475.28,462.5,466.18,1538639
1/7/2019 15:30:00,469.95,475,467.95,470.78,1172376
1/8/2019 15:30:00,474,474,466.55,472.58,1515788
1/9/2019 15:30:00,473.5,474.28,466.15,469.2,1235860
1/10/2019 15:30:00,471.5,471.5,466,467.93,916048
1/11/2019 15:30:00,467.5,470.5,460,470.03,2165684
1/14/2019 15:30:00,470.5,472,464,468.6,978404
